HISTORY,CVP,PCWP,HYPOVOLEMIA,LVEDVOLUME,LVFAILURE,STROKEVOLUME,ERRLOWOUTPUT,HRBP,HREKG,ERRCAUTER,HRSAT,INSUFFANESTH,ANAPHYLAXIS,TPR,EXPCO2,KINKEDTUBE,MINVOL,FIO2,PVSAT,SAO2,PAP,PULMEMBOLUS,SHUNT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR,CO,BP
3.1592,3.6233,6.0714,2.0795,2.9010,0.6620,2.8575,1.4934,37.5204,37.0625,1.3509,37.2152,4.8267,0.5729,1.4424,16.8952,0.4435,7.0781,0.8524,10.6594,16.4381,1.8167,1.1432,3.7272,0.8099,6.2299,0.6712,1.0546,2.6593,3.7552,5.6238,9.6637,10.2489,34.7694,34.7877,38.1910,40.3994
2.7850,6.4201,6.5613,2.8497,4.8461,1.6525,4.6210,0.9033,31.4801,33.1110,0.1772,30.4542,1.0026,3.6209,3.9933,19.9699,0.3501,9.5254,0.8275,10.8658,12.5978,1.2978,0.4680,0.9801,0.4891,9.0462,1.9102,0.4381,1.5066,6.2763,8.8294,9.6041,11.1368,28.9048,29.5827,34.9680,39.2869
1.5886,3.5659,2.3745,0.3683,1.9025,1.3456,2.5068,0.3636,41.3465,42.1744,0.3493,42.1076,0.2570,5.1316,5.2019,26.8692,1.1979,14.3818,0.1065,14.3478,19.3580,3.4233,0.6144,4.3625,2.5786,8.7791,0.3427,1.3768,1.3944,1.7454,11.4851,14.1075,14.8952,39.8015,40.9799,43.6632,49.7460
3.0212,0.7022,2.3647,0.2003,0.2691,0.0534,0.5958,2.2139,44.9158,43.7659,0.7599,45.4485,0.4686,0.1055,2.2056,22.3987,1.2941,12.9899,0.5369,13.2643,24.6666,4.5820,4.2536,9.4107,2.7823,6.2929,0.1137,1.5533,1.7198,2.1250,8.6028,11.6043,13.2770,40.7013,40.9883,41.8017,44.4505
1.2397,6.1457,5.7936,3.6621,5.7041,0.4781,4.6768,0.1588,22.8706,23.0384,0.4688,22.8219,0.5543,0.7464,1.0269,12.4752,0.2946,7.2609,0.3226,8.9065,12.0680,4.0252,0.5578,2.9685,1.4732,6.4438,0.2022,0.5168,0.7728,2.0312,4.9085,7.1061,7.3142,21.2677,21.5880,26.9582,28.0746
0.1112,3.4743,2.7011,1.4050,2.2552,0.0148,3.1126,0.6658,27.9400,27.0085,1.3873,29.2677,2.1792,1.4192,1.5394,14.6961,1.4573,5.1400,0.2511,7.0967,11.1915,3.7964,0.7967,3.6884,0.8383,3.9362,0.3090,0.4363,0.8915,1.4630,4.0296,5.1774,6.0179,23.2291,25.3870,28.7884,31.1879
3.8550,5.8487,3.9182,0.2424,3.7800,2.5966,3.1115,0.0696,32.3504,33.7732,1.6977,34.5932,0.2528,3.5256,3.6504,20.8596,0.9696,10.0149,1.4091,11.3522,14.2580,1.8085,0.0121,1.9428,1.8574,7.0653,0.8588,0.5478,1.8952,2.9659,6.5414,9.9219,13.3918,31.8078,31.8876,35.1128,39.0605
1.1982,3.5332,3.5436,2.2889,2.9410,0.1136,2.4619,1.5608,23.8922,22.9307,0.6756,23.5887,0.1524,0.0250,0.2245,14.8362,1.3360,6.4737,0.5556,7.6541,9.7355,0.9222,0.4205,0.9906,0.3004,4.8928,0.0023,0.5037,0.5072,2.4549,6.0691,6.8587,7.3698,17.8028,21.9749,28.6560,29.1919
0.9957,3.8492,3.8073,1.9665,3.7728,0.5146,2.8011,1.0982,34.3096,35.3241,0.8617,33.7891,0.1627,0.3477,0.8579,16.6035,0.9800,8.1843,1.9262,14.0135,19.8932,0.4172,0.2708,2.2852,1.9678,6.1407,1.0213,0.1027,0.8970,2.7980,5.7752,10.7038,10.7305,32.3295,32.8079,36.7230,38.7575
3.7560,3.7352,3.6083,0.0800,3.5920,2.8027,2.9430,1.9963,37.8097,36.7806,1.1955,37.0948,0.1148,1.0929,1.5592,20.4599,2.7279,9.2386,1.4391,11.3391,14.8705,2.1888,1.6946,3.3604,1.3368,8.1312,0.4915,0.9214,1.7467,3.7596,7.8927,9.5630,12.1396,30.9916,34.1914,39.1908,42.0520
0.6109,3.7335,5.0273,0.4504,3.2557,0.1808,1.4387,0.1841,29.7806,30.5942,0.1056,30.3516,2.5362,0.6434,1.3424,21.0859,0.5588,10.6144,1.2547,11.9784,12.9635,0.7167,0.5049,0.7557,0.1624,9.5019,2.4349,1.1588,1.6009,5.4843,9.9775,10.5924,10.9166,28.3207,29.2342,32.0130,34.0992
1.1484,0.9610,4.1982,0.5763,0.8398,0.2359,2.6641,1.4712,37.2143,34.4552,0.3676,36.9359,0.1811,0.2485,0.4337,22.8097,1.2798,11.9395,1.0651,13.5014,19.9572,1.5261,0.1493,5.9865,1.9527,8.5706,4.0270,0.1408,0.7440,5.0894,9.5468,11.9538,12.1235,33.0166,33.9331,36.7632,38.6294
0.7266,0.8490,1.6462,0.5322,0.7445,0.1448,1.1529,1.9489,42.5873,43.1122,1.0200,41.2912,0.0766,0.4706,0.7420,29.4589,0.0622,14.2314,2.4130,19.2716,21.6527,0.6318,0.3823,2.2665,1.6411,10.3702,1.1715,1.1913,5.6241,7.7697,12.3653,16.2428,16.9557,39.8717,40.2490,43.3357,44.8604
2.0057,4.0895,3.5244,0.8469,2.8993,1.5212,3.0869,0.1835,28.6017,27.0669,0.0912,27.3014,0.0288,0.0215,0.1600,22.2084,0.0993,8.9774,0.4913,10.5042,12.1822,1.7459,0.7495,1.3585,0.5138,8.5334,4.1253,2.1898,2.4735,6.9508,8.2345,9.7844,12.8904,25.3081,25.4375,28.5945,28.9802
1.7157,0.7970,1.3094,0.1189,0.6891,0.2599,1.5394,0.7330,22.7425,22.9492,1.1877,23.8566,0.2916,2.1017,3.0923,12.0051,1.4251,8.9658,1.8936,8.3914,9.1443,1.4898,0.3729,0.7153,0.0397,7.3163,1.1312,0.8688,0.8711,3.4746,5.7496,6.1466,6.1500,21.3953,21.5004,23.2287,26.7846
0.7269,1.6321,2.5809,0.5756,1.1200,0.1609,1.5563,0.4269,33.1220,33.7833,0.0933,32.7499,1.6698,1.0136,2.9898,21.4868,0.4141,9.6919,0.2228,10.4286,13.1592,1.2914,1.2185,2.4413,0.6236,5.4051,2.0038,0.6590,0.9031,3.7431,8.5429,9.2501,11.4510,29.9783,32.2429,33.9029,37.4409
1.7511,2.4098,3.0304,0.8658,1.9872,0.8867,2.7911,1.7615,36.9968,39.6162,3.9042,39.8309,0.0758,0.0005,1.8329,21.3295,0.2307,9.5802,5.7977,16.1632,21.1949,0.4242,0.1891,0.5119,0.2675,7.1892,0.0810,0.5987,5.4489,6.4493,8.9919,9.7748,10.9630,34.5445,35.1173,39.1051,41.7358
1.1343,2.2005,3.4390,0.3778,1.8828,0.2488,2.2927,2.8878,31.2031,31.3418,1.6977,30.6371,0.6271,2.6214,3.0012,17.7451,3.0887,8.2972,0.0541,9.8697,13.2470,1.9148,0.4695,2.4121,0.3922,7.5850,0.2924,1.7240,2.9674,4.0660,7.8779,8.9356,9.2257,26.4016,28.2365,31.4181,34.8860
2.2122,3.7706,5.4021,0.9057,3.0713,0.8835,1.8883,0.9660,31.4579,35.0847,2.6973,33.0022,0.0365,1.9414,3.6209,15.9005,2.8146,9.4138,0.3269,10.5406,14.5885,2.0240,0.5984,2.7951,0.3920,9.2091,2.1078,1.2116,1.4129,3.6351,6.9059,7.3245,8.8673,28.0894,28.7103,30.6821,35.0705
1.8290,5.6503,6.3965,2.9035,4.2260,0.8180,4.0793,0.8805,40.6166,42.6832,0.0305,40.7767,3.2418,0.6960,0.7688,23.5812,0.3853,9.2624,2.4013,17.6294,19.8716,0.5602,0.5600,1.2261,0.6533,5.1979,1.5849,0.0057,0.3600,3.6599,7.0760,13.9936,14.8042,38.7824,39.5248,46.2404,47.9023
0.0568,1.7568,3.4497,0.3871,1.7114,0.0201,0.4714,0.8933,35.6133,34.9459,0.2921,35.6682,0.3945,0.7891,1.9454,19.6367,0.1663,10.1011,1.1342,10.5170,18.2441,2.6491,1.9003,3.6915,0.8207,7.2563,1.4886,0.3087,3.8246,5.8699,7.3223,8.4912,11.3139,33.2705,34.1212,35.8988,38.9033
0.5354,3.5417,4.7822,2.1044,3.1133,0.2054,3.0901,1.9797,30.4380,30.4133,1.9020,28.4117,2.1804,0.5953,0.6810,17.2517,1.4511,9.1427,0.4719,8.7607,14.1777,2.1121,0.2203,1.4840,1.2514,4.7839,0.1290,1.1014,1.1529,1.6302,6.7409,8.1044,8.9117,26.2330,26.4779,30.5331,31.9816
