HISTORY,CVP,PCWP,HYPOVOLEMIA,LVEDVOLUME,LVFAILURE,STROKEVOLUME,ERRLOWOUTPUT,HRBP,HREKG,ERRCAUTER,HRSAT,INSUFFANESTH,ANAPHYLAXIS,TPR,EXPCO2,KINKEDTUBE,MINVOL,FIO2,PVSAT,SAO2,PAP,PULMEMBOLUS,SHUNT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR,CO,BP
1.4982,9.0822,7.8388,1.9112,6.9603,0.7601,3.7849,1.5600,26.9354,30.7199,0.3345,25.4581,0.0886,0.0295,0.5881,16.6783,1.4152,8.8263,0.3955,9.5750,14.8150,0.6760,0.3364,2.9547,0.5811,7.8003,0.4756,3.4047,3.6421,5.2354,7.9077,8.5418,8.7682,24.3031,25.0133,29.4048,32.1312
1.0887,2.7062,1.7620,0.1220,1.0542,0.9117,3.7358,0.0022,36.5646,36.1046,0.5733,38.1990,2.1289,1.0455,2.6192,18.5327,0.5383,9.0719,2.1672,13.6172,17.6828,3.5265,1.4108,3.4172,1.4980,6.5583,0.2205,1.4894,2.9968,3.6088,7.4963,10.5341,10.9203,33.3653,35.3536,40.0685,43.4510
4.4192,3.0153,3.0885,0.6901,2.4057,0.3617,1.3112,1.0237,21.1910,20.9152,0.7371,21.0922,1.1311,0.6088,0.6209,10.5488,0.6983,4.8208,2.9360,10.1581,11.6926,1.8173,0.2924,1.4871,0.2814,3.4661,0.0055,0.6643,1.9629,2.0037,4.4587,4.8842,5.7222,19.7624,20.1542,22.5403,24.0857
1.9321,4.5921,2.2858,0.5545,1.7781,0.8178,2.4467,3.0344,35.7938,32.9554,0.4533,32.8458,1.9880,0.5748,0.8177,21.1503,0.6289,11.3398,1.0971,13.0647,15.5561,1.1225,0.5657,2.1307,1.2720,10.5135,1.2999,0.1678,3.3830,5.9053,8.2993,9.9088,10.2661,30.9410,31.9577,36.5574,37.4619
2.3491,1.5826,1.9189,0.1032,0.8106,0.5108,1.0080,0.6670,32.4879,36.5496,2.1214,35.3001,4.0720,0.1572,0.8200,14.2184,2.5240,6.1595,0.4370,14.9358,18.9126,3.0482,1.1294,2.9565,0.0603,5.1800,0.3883,0.0292,1.9056,2.4959,5.2196,6.3782,6.8418,31.5882,31.7037,34.3180,40.4870
0.3807,2.5926,1.4480,0.9613,1.2445,0.1719,2.7236,2.0177,37.2651,33.6348,0.2336,33.4221,0.3532,0.5892,2.9481,18.9585,1.4964,9.1335,0.5418,14.5366,17.5914,0.6200,0.2018,1.0100,0.7221,5.7504,1.5651,0.6408,1.1381,3.2988,7.7583,9.2225,10.9455,32.9875,33.1668,36.1471,39.4920
1.6352,10.3515,11.1797,4.3025,10.3055,1.2882,6.7391,0.8606,40.5872,38.2698,0.2088,38.3779,0.8008,0.9595,3.2718,27.6539,2.4533,14.0067,1.8149,15.3390,17.6594,0.3647,0.0140,2.0717,1.1212,10.3227,0.0773,0.1985,5.1131,6.2867,11.3104,12.6004,15.0774,37.3263,37.6571,44.6982,48.8273
2.3330,2.9924,3.0951,1.1777,2.8393,0.7226,3.1814,0.4590,36.3030,36.8199,0.7134,37.1670,2.0998,0.6083,0.7555,20.0400,0.8944,12.0317,3.6184,15.2799,20.1575,1.7095,0.5825,4.6719,1.3757,8.1242,0.5486,1.1247,2.9336,5.8386,8.1231,10.2187,11.2328,34.7993,35.5089,40.6441,45.6439
2.5939,5.6561,2.9301,0.2212,1.8718,0.1357,0.5180,0.1312,26.7560,29.9260,1.3838,28.6638,0.0308,0.2402,4.0705,16.6486,1.0781,7.1006,0.5026,8.6454,13.5725,9.8039,4.1385,4.3937,0.0024,7.9474,0.9308,1.5933,2.0854,4.3484,6.7120,7.8003,8.0191,26.1367,26.4413,27.4436,31.9509
3.0000,3.4014,2.1411,0.3931,1.9833,0.8145,2.0479,0.1140,45.5990,50.5761,1.7867,50.3339,0.9111,0.2928,1.0564,33.7691,0.8651,20.6780,2.8231,20.8037,24.5824,1.7013,0.6576,3.6260,1.8509,12.1541,0.9928,0.2796,7.7637,9.3720,14.9516,17.9724,18.3640,45.3179,45.4222,48.7471,52.4446
1.0473,3.7549,3.7152,1.8536,2.5022,0.0000,2.5510,0.8103,28.2639,28.3562,1.3114,29.2907,0.3343,0.7916,3.2127,16.0191,0.0048,7.5778,1.3591,9.2197,12.8296,1.6127,0.2855,1.8396,1.3297,6.6779,0.1112,0.6193,2.4113,3.0868,5.6291,7.0220,10.3190,26.7369,27.0190,30.7264,34.6428
2.9854,3.1922,4.0505,0.9404,2.7035,0.8518,1.9533,1.5651,29.5093,30.4842,2.1147,30.0717,1.5490,0.2734,0.4620,14.9145,0.2717,7.1382,0.9913,9.2895,14.2605,0.8721,0.3171,3.8941,1.5313,7.0629,0.6759,0.4548,1.9626,2.7203,4.6150,7.7005,7.8657,26.0061,27.3359,32.1847,32.7792
4.1555,4.0923,3.6421,0.8290,2.5384,1.4731,3.1341,0.0245,25.5913,27.6916,0.1012,28.2466,0.2837,0.7236,2.2180,14.4057,0.5382,12.1861,0.0613,7.3946,12.2231,0.6432,0.1658,3.0201,0.8653,5.9433,1.7075,0.1618,2.1179,4.5089,5.9802,6.8493,6.8563,21.7030,24.9205,28.7419,31.3305
1.4846,3.0839,3.9375,0.1085,2.8278,1.4334,3.7268,0.0704,22.8005,22.8010,0.2780,23.9175,3.5757,0.2589,1.5171,15.3607,0.3385,6.6245,0.9268,7.2690,9.0604,4.5580,0.8340,1.5148,0.4172,5.3679,1.0877,1.3620,1.8494,4.4617,5.7810,6.2867,6.6154,20.8425,21.3605,25.1756,27.0641
1.0716,3.3883,3.1195,1.7238,2.9939,0.4011,3.6534,0.0219,25.0928,27.4793,2.7120,33.4164,1.6164,1.7621,2.3400,13.3456,0.3182,7.4584,3.5495,8.8065,11.7182,0.4930,0.0490,0.5036,0.2405,3.1519,0.7739,0.5243,1.1490,2.4752,4.7763,5.2343,8.1761,24.2028,24.6569,28.7664,31.1644
