BirthAsphyxia,HypDistrib,HypoxiaInO2,CO2,ChestXray,Grunting,LVHreport,LowerBodyO2,RUQO2,CO2Report,XrayReport,Disease,GruntingReport,Age,LVH,DuctFlow,CardiacMixing,LungParench,LungFlow,Sick
0.1159,8.0290,8.6064,2.3664,3.8524,4.1087,3.2522,16.9303,11.2958,4.3034,4.7638,1.5507,4.3543,4.4411,2.3405,1.8864,5.1268,1.9459,1.6681,2.0157
0.0024,5.4228,2.6196,1.5370,1.6178,4.6151,1.8965,8.8441,2.7807,2.3089,1.6618,0.0939,4.7924,2.3123,1.4337,0.5570,0.8880,1.3999,0.0975,2.1881
0.8739,8.8114,5.7525,4.7611,5.3496,5.6285,6.0085,14.8837,5.8071,5.0659,5.6745,1.6682,7.1322,5.9590,5.3780,4.4457,3.7627,1.7983,1.8860,3.6559
0.4995,3.4571,5.2927,2.2472,3.8784,3.8970,5.2460,9.1365,6.9594,3.5894,4.3432,1.3227,4.6062,4.1257,2.4770,1.6890,1.5480,1.4463,1.3692,2.4100
1.1613,4.8724,7.2765,3.0737,5.4295,7.0106,4.0329,13.2561,9.7599,3.4107,7.4369,1.9267,7.2993,5.8646,1.9667,2.5940,2.2408,2.5681,2.5618,2.0687
1.6143,6.9385,5.5338,3.4429,6.1542,5.2208,3.3466,12.6056,5.8924,3.5617,6.9546,2.2854,6.3776,4.8370,3.1665,2.8154,2.4574,2.7284,2.3333,2.4660
0.3209,4.0986,4.4464,2.6195,1.9877,3.4933,3.1268,11.0292,5.6144,2.8303,2.7536,0.3510,4.3659,3.3989,1.6739,0.8620,2.8365,0.3511,1.1658,2.7903
1.3817,6.5790,7.8086,5.5971,7.0930,10.6162,5.5957,14.8584,9.0781,6.2347,8.5861,1.9522,11.6931,4.9385,2.2409,3.6000,2.4131,4.6576,2.0803,2.6031
1.7841,4.0707,4.8399,2.4945,7.4567,7.4273,4.2050,8.9234,6.2067,2.7759,8.1608,1.8511,9.7261,6.9641,2.2052,2.1457,1.9025,2.3266,4.0818,4.3360
0.7101,7.1854,6.4638,3.7011,6.3069,7.1582,5.4929,14.6625,6.7555,4.5446,7.6412,2.6165,7.9030,6.8235,2.9437,4.4959,2.6677,3.1446,3.1440,3.3507
0.0178,6.1169,4.6530,2.5304,4.9671,4.4825,6.2692,11.5830,5.1830,4.0984,7.4861,1.7845,4.7974,5.7229,1.8693,3.3495,2.0338,1.9224,3.0203,2.4026
1.3421,8.2977,5.1557,2.1797,5.1166,5.2433,4.1300,13.5413,5.6375,2.2620,8.2889,1.7448,5.8462,4.5219,2.2658,3.5166,2.9940,2.0871,2.6328,2.0889
0.4705,5.6266,6.5130,3.2056,7.1019,8.2248,3.7297,12.1461,7.4719,4.2943,7.1650,1.7953,8.6415,4.4396,2.2917,1.8331,3.7758,2.5696,4.0738,2.3817
0.4649,5.6771,4.6447,2.2817,3.8661,6.1026,3.7626,12.4444,5.3126,2.7608,4.3692,1.2213,6.3971,5.2977,3.1108,3.2947,1.5836,2.0607,1.5356,3.3390
0.3295,11.4828,7.4772,1.7608,5.0621,5.5574,1.7398,20.1297,7.7718,2.0428,6.6775,1.6101,6.0751,4.3139,1.6519,7.4819,3.4944,1.7170,3.0983,2.5864
0.6049,5.0567,5.2954,3.3094,3.8320,6.8457,3.5739,10.4602,5.7108,4.3387,5.1349,1.3190,8.6909,6.0593,1.7725,1.9815,2.7169,2.0247,1.6856,4.4810
0.6986,4.9092,4.2290,2.6006,4.9575,8.9481,3.8442,12.0757,5.7504,4.8017,5.2489,1.2947,8.9944,4.9123,3.8308,2.6859,1.6140,2.2112,1.6435,3.2969
1.7389,6.3730,8.4055,8.7044,10.7254,10.7610,2.6313,15.7359,9.3672,11.8987,10.8078,2.0393,10.9470,6.3744,2.0729,2.0424,2.9049,5.2308,2.6378,4.2364
0.0535,2.1513,2.1727,1.5595,3.8838,2.5119,1.8330,4.9950,4.1864,1.6109,4.4086,0.2805,2.8211,1.5147,0.2930,0.7343,0.5784,1.0613,0.6225,1.1142
0.8585,5.9200,4.7443,3.8833,5.8123,5.8191,4.9309,11.2708,5.1840,3.9348,6.1891,1.2630,6.4597,6.5008,3.7991,3.8369,1.6544,1.6737,1.8277,3.7425
0.0532,4.7163,5.1602,3.0016,3.3118,2.1816,1.5458,10.5389,5.6096,3.0794,4.6843,0.7158,4.0689,3.2140,0.9933,0.7530,3.4283,1.0821,0.7851,1.0363
1.1622,5.8532,5.7406,3.6287,4.2193,5.5885,2.6603,13.1280,6.0462,3.7701,4.2798,1.4401,5.6349,3.9948,2.5340,1.8636,2.1068,2.1614,1.6053,2.0276
0.4258,6.1949,3.0008,1.2895,3.4907,2.8092,2.3487,9.3945,4.2330,4.1943,3.6459,0.6925,5.6001,1.4883,1.6471,2.0258,1.6677,0.8914,2.1234,0.7456
1.9188,13.5704,10.3882,6.4758,9.3803,10.3601,5.5600,24.4820,10.4825,7.8206,11.3668,2.7880,12.8389,6.3801,3.9317,3.5123,5.3939,4.6308,4.0468,3.5517
2.7346,7.0977,7.6861,4.3608,7.7494,6.9438,4.1279,15.5114,8.6205,5.5359,8.7440,3.2835,8.3601,7.6915,3.5928,3.5549,3.4755,3.4610,3.8021,3.2970
1.7183,4.3828,5.1815,2.5027,5.5951,6.5030,5.2102,9.5757,8.2884,2.9097,6.6393,1.7985,7.1044,8.2283,3.9953,2.3933,1.9502,2.1437,3.4386,3.6736
0.6804,6.6040,9.5089,4.8600,7.5868,8.7167,3.0230,16.9062,9.9048,4.8665,7.6551,2.2476,9.0189,5.9875,2.4370,3.0676,2.7259,4.5447,2.7546,2.5356
0.1715,2.9011,3.3518,2.3362,2.3247,5.7062,1.7516,7.3850,5.2869,2.3718,4.2636,0.3820,5.9520,6.4049,1.5873,0.3849,2.3649,0.9483,0.6140,4.0803
0.4987,5.7614,10.4448,10.0540,8.8785,7.4650,3.6960,16.8052,10.6773,13.6272,9.3051,1.7971,8.2114,4.5898,3.0800,2.6925,2.8272,4.6223,2.7749,2.0380
0.2220,6.5113,5.6528,6.2042,4.8079,4.8839,1.7513,12.4914,5.7489,6.7745,6.3745,0.8191,5.8528,3.4405,1.4829,0.8601,3.8454,1.5242,0.9041,1.7445
0.3969,3.9728,3.3552,2.5739,3.9158,2.9852,1.3755,8.7715,5.3843,3.7277,4.2391,1.1762,3.1313,5.4430,1.1847,1.6220,1.9057,1.2105,2.5231,1.6719
0.5568,3.1687,4.0776,2.3856,4.6964,3.1469,4.9364,7.2911,4.2931,2.7665,6.4779,1.0412,3.6184,7.8269,2.7629,1.0854,2.0795,1.5978,1.6442,1.2087
1.8887,5.1381,5.1872,2.3379,5.5257,4.6221,3.2890,10.5754,6.4668,2.6501,5.5952,2.0023,5.2903,5.4706,3.2578,2.4591,2.6736,2.0704,2.1679,2.4467
0.0952,2.5528,2.6170,2.4028,4.4304,3.9622,1.1786,8.9067,2.6742,2.9268,4.8090,0.7349,4.1617,6.6557,0.8844,1.1130,1.2518,1.2577,1.0060,1.2919
1.6596,9.9732,9.9891,5.6858,10.7418,10.1045,4.4366,20.6482,15.6562,5.8667,10.9717,3.5402,10.3121,8.4621,3.7407,4.2827,5.0072,4.9079,4.0931,4.8973
0.6536,5.0336,5.7947,4.7773,6.2396,4.7995,1.2814,11.2315,8.6413,5.4818,6.7067,1.1426,7.1341,2.3997,1.2125,1.1749,3.6361,1.9934,2.4493,1.2306
3.6899,10.8218,10.4159,12.3504,11.0386,9.3585,7.0964,21.9140,10.9131,14.0262,11.9102,4.0577,10.7489,10.7869,4.4327,5.2804,5.2556,4.6979,5.3778,4.4207
0.6630,11.0038,10.5971,3.6262,10.0892,8.4016,4.4302,24.8414,12.4337,3.7551,10.2598,3.3563,8.5941,9.0149,4.2047,4.9210,3.7965,3.5090,5.7473,4.5484
