BirthAsphyxia,HypDistrib,HypoxiaInO2,CO2,ChestXray,Grunting,LVHreport,LowerBodyO2,RUQO2,CO2Report,XrayReport,Disease,GruntingReport,Age,LVH,DuctFlow,CardiacMixing,LungParench,LungFlow,Sick
0.6504,6.9432,5.5509,2.6492,7.4744,5.3173,4.5469,13.1377,7.5377,2.6771,7.9953,1.7130,5.8936,3.5835,3.6293,2.9251,2.3917,2.1576,3.2038,1.8414
0.1807,6.3016,4.9235,2.6184,6.4533,5.8003,2.6153,11.4186,5.3958,2.7126,7.7135,1.0526,6.2539,2.5692,2.4687,2.0154,1.6969,2.2352,3.2153,1.2941
1.6285,9.0006,8.7971,3.5793,12.2169,6.3405,3.4767,18.8578,8.8665,6.8732,12.7387,2.6005,8.1213,5.4829,3.0779,3.3322,3.7636,2.6710,3.1018,2.8572
0.0586,3.6344,4.6111,3.8423,5.9742,3.7935,3.9870,8.9190,6.0981,4.8467,6.1937,0.9387,5.6323,2.8757,3.3343,2.2242,1.2627,2.3280,3.6278,1.3513
0.1045,3.0613,3.6592,3.6768,2.7044,2.6455,3.9822,6.7437,4.0245,3.7304,3.1759,0.2461,3.1205,1.4838,2.0977,1.7286,1.0452,2.0305,0.6345,0.4607
0.0860,6.5084,6.4859,2.9343,5.9171,8.6070,3.7417,13.6321,8.7191,3.9377,7.1123,2.0533,8.6322,4.6825,2.8395,3.6628,2.6320,2.9183,2.9408,2.1607
0.5211,2.8455,3.5828,2.2682,6.0087,7.0631,5.2309,6.9691,3.6084,3.7703,6.4365,0.7486,7.1760,5.1971,2.2721,0.9296,1.6958,1.2337,2.6807,4.3484
0.9285,8.1961,9.9671,3.9907,7.8177,8.6783,4.3595,18.2797,11.3463,4.7257,8.5593,3.2159,8.8801,6.8776,3.5408,3.6392,3.9990,3.4796,3.5322,3.2541
0.2462,4.1071,5.1360,4.0865,6.2655,5.2806,2.6264,11.3348,5.3947,4.5951,6.4285,0.3253,6.9000,1.0594,0.6346,0.9666,1.0303,3.8259,0.3353,0.4919
0.0052,2.1930,2.9670,1.8523,3.4151,2.1613,4.6555,5.2574,5.3788,2.2457,3.7974,0.6712,2.9876,3.4074,0.9174,0.8144,1.1935,0.7325,1.4627,1.4200
0.7195,6.7748,8.6488,3.4577,5.0469,6.0100,4.7207,17.0434,8.7430,5.7374,7.1790,2.2415,6.1522,9.5402,3.1492,2.3124,4.3654,2.2838,2.7031,2.8661
0.6878,6.7435,8.7547,4.2742,6.4062,8.6719,4.2503,16.6075,11.0339,4.8114,7.1372,2.6193,9.4495,7.0828,3.6513,2.6288,4.0875,3.0426,2.7544,3.7302
0.6778,9.5788,9.5171,2.2774,5.1286,4.8960,3.8954,19.3593,10.1630,2.2886,5.5926,1.9310,5.0577,6.4531,3.8377,2.6194,6.3860,2.0791,2.8471,2.3157
3.5078,12.7075,12.6703,5.8072,11.8820,11.2005,7.6934,25.6281,13.0337,5.9342,12.0952,4.8332,13.0176,10.2368,5.9040,6.1207,6.0517,5.7752,5.4863,5.3443
0.6085,3.6210,3.1607,1.4595,8.1446,3.7369,2.4223,7.9387,3.6634,3.0813,8.6142,1.0642,4.9058,3.8067,2.2895,1.5082,2.0504,1.0682,3.6646,2.3329
0.9803,5.2837,5.0206,7.0447,8.2929,9.7971,3.0568,11.7737,6.6689,8.8409,9.7762,2.4285,10.5462,5.8156,2.8226,2.5056,2.4939,2.4831,2.5549,3.2094
1.6797,14.0276,12.9557,4.6468,10.0227,8.2244,4.2316,27.0856,13.8237,4.8329,11.7337,3.6969,8.2927,7.8061,4.0989,3.8015,7.9590,4.3881,5.3077,3.7836
0.3010,2.2621,3.9160,1.8916,3.0564,1.1983,4.3360,6.2868,6.9632,3.5019,3.5026,0.3081,1.8457,2.2408,1.2181,1.2053,0.7414,0.6841,1.8579,0.3816
0.3403,7.0406,9.6759,6.5902,9.9705,7.6022,2.7275,16.9024,9.8430,6.7385,10.1537,1.9284,9.9447,4.5366,2.3021,3.2890,3.5579,5.6037,2.2388,1.9652
0.6671,4.3687,4.5515,2.7522,3.8660,4.8720,2.4800,12.5590,4.7543,3.4712,4.3783,0.9619,5.2694,6.3422,1.1720,1.0380,2.1559,1.8832,1.7652,2.2851
0.9962,9.5740,9.0526,2.7696,8.6842,7.0444,3.8889,19.4534,9.9370,2.8640,8.8796,2.1859,7.8331,4.8314,2.7076,6.4539,2.9813,2.5732,3.3953,2.3300
1.0781,8.8693,10.5165,3.2417,6.4861,5.7817,2.8649,19.4045,10.6151,3.6278,7.1960,1.7166,7.4088,4.1772,2.2557,2.2581,3.9338,2.6588,2.7323,2.4160
