HISTORY,CVP,PCWP,HYPOVOLEMIA,LVEDVOLUME,LVFAILURE,STROKEVOLUME,ERRLOWOUTPUT,HRBP,HREKG,ERRCAUTER,HRSAT,INSUFFANESTH,ANAPHYLAXIS,TPR,EXPCO2,KINKEDTUBE,MINVOL,FIO2,PVSAT,SAO2,PAP,PULMEMBOLUS,SHUNT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR,CO,BP
2.3914,5.9188,5.1131,2.2043,4.7213,2.1589,4.9080,0.1082,15.4297,16.6309,0.7260,16.2925,0.5885,0.3565,1.4521,8.7380,0.3328,4.6407,0.3485,4.4763,6.2855,3.5712,0.7943,0.9507,0.1295,4.2785,0.6283,0.0618,2.2024,3.2133,3.6815,3.9038,4.6640,14.8835,15.0937,20.3936,23.1698
1.5136,5.2949,2.9607,0.5730,2.9297,0.2079,1.3686,0.6216,31.9736,34.0067,2.5191,36.7617,1.7767,3.1009,3.6783,16.1328,0.0704,8.3935,0.2319,10.6713,15.3129,1.4343,0.7272,2.5779,1.1716,5.5285,0.9212,0.1286,2.3580,3.6739,6.6343,7.8355,8.0407,30.7609,30.9241,33.2383,37.4906
2.0208,5.3037,5.4334,2.6951,4.2365,0.8063,3.8031,0.0491,25.8026,26.0359,0.9866,26.8996,0.0669,0.6797,1.0476,20.4696,0.2140,8.6537,0.2264,8.3043,11.6262,1.0368,0.5880,2.0173,0.9879,4.9825,0.3472,1.4016,1.4017,3.1104,5.6039,7.9599,10.4049,23.6516,25.0354,29.1670,31.5672
0.9620,3.1315,3.1328,1.7109,3.0214,0.3846,2.1531,1.7604,28.3090,27.3068,1.6982,25.4486,0.9218,0.0990,0.1721,13.1214,0.0398,4.8986,0.2107,6.6443,13.4403,5.3624,3.8053,6.0597,0.6983,6.8317,1.9593,0.0464,0.3005,3.1779,4.1999,6.2595,8.0323,22.7298,23.6213,28.1650,29.0352
4.3117,3.3303,2.9011,0.0192,2.5870,2.0430,2.6106,0.2540,21.5383,22.4445,0.9234,22.2724,0.8281,0.6212,0.7814,11.4007,0.8432,4.5708,0.7396,5.4882,9.4067,2.0946,0.1381,1.0748,0.4810,5.9635,0.0103,0.1717,0.5898,2.0540,3.5986,4.5347,6.9922,19.8667,21.2434,25.7567,26.6637
1.0588,3.9255,2.6956,0.5985,2.1858,0.3124,1.9396,0.2932,18.5090,20.3115,0.6059,19.3146,0.3321,0.3391,0.9136,11.2727,0.9414,6.2052,0.4283,5.5874,8.3244,1.3542,0.2549,1.5617,0.6653,4.3268,0.8436,0.6459,0.7723,1.9064,3.5238,4.8866,6.6886,17.9782,18.1829,20.1428,21.8663
1.2479,1.4989,3.0124,0.3257,1.3776,0.9234,4.4417,0.2983,24.7093,25.7065,0.4371,27.5398,0.8992,0.8014,2.7217,10.7158,0.4321,6.2396,0.7632,6.7878,9.4758,1.7527,1.3266,2.2934,0.5233,4.1688,0.0943,1.1947,2.3999,2.6114,4.4834,5.6020,5.6341,23.3221,23.6997,28.1624,30.9868
0.1227,3.7469,4.4208,2.2967,3.6425,0.1199,4.3530,1.4695,41.9610,38.4855,0.7118,38.6808,1.1664,0.2565,1.1740,27.0053,0.2290,12.8015,1.3360,16.6029,19.6223,1.6198,0.4643,1.4060,0.6908,10.7677,0.4779,0.5644,0.9801,6.6377,11.4021,13.9318,13.9336,36.0323,37.6489,42.0994,43.3345
2.1797,3.9864,5.7021,2.1734,3.9414,1.2552,3.4727,0.1360,20.0891,19.6001,0.6676,21.1575,0.3252,0.2741,0.5477,8.7198,0.2635,4.8811,0.7446,6.0151,11.1818,2.0643,1.6219,3.9032,0.1771,4.1439,0.2518,0.9118,1.5040,2.9240,3.8236,4.4094,4.7425,16.9203,18.0461,22.1505,23.3522
0.1919,1.7224,5.1645,0.0915,0.5758,0.0952,2.3175,0.5613,26.7072,27.4927,0.6577,26.7383,0.3452,1.5093,2.1312,16.4867,0.8141,9.0394,0.1108,7.7948,13.0857,1.9477,1.2699,2.1533,0.4785,7.7596,2.0659,0.2773,1.6384,4.8183,6.6650,7.6825,8.8821,25.2818,25.7859,31.8759,35.6664
