HISTORY,CVP,PCWP,HYPOVOLEMIA,LVEDVOLUME,LVFAILURE,STROKEVOLUME,ERRLOWOUTPUT,HRBP,HREKG,ERRCAUTER,HRSAT,INSUFFANESTH,ANAPHYLAXIS,TPR,EXPCO2,KINKEDTUBE,MINVOL,FIO2,PVSAT,SAO2,PAP,PULMEMBOLUS,SHUNT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR,CO,BP
2.1679,6.8357,6.2232,1.8018,5.9837,1.3456,3.6038,0.0672,24.9435,24.0847,0.1023,25.8705,0.5093,0.4475,2.8664,14.0631,2.1271,6.5445,0.4453,7.8051,12.2056,0.8740,0.6652,2.9037,0.9457,6.0070,0.4571,0.2093,1.3388,1.9311,5.3437,6.8619,7.0670,22.7928,23.0069,26.8279,29.8596
1.0751,6.6649,7.5207,3.9629,6.5182,0.9804,6.5423,0.6905,30.2250,32.0020,1.6364,30.8977,1.5299,0.1791,0.2452,16.7997,1.2862,9.6310,0.4947,11.3374,17.7667,0.3388,0.0640,5.9119,1.2299,5.6447,0.3563,0.0421,1.6497,2.1513,5.3098,7.5809,7.6419,27.5803,28.9751,36.8025,38.3412
2.9800,6.6955,7.3167,2.7896,6.6677,1.0913,6.5464,0.0900,58.7358,59.4232,0.3032,58.8647,1.0976,2.2473,3.6375,38.5801,2.4705,19.9644,4.2571,25.7592,31.5713,1.1758,1.1469,4.5807,2.0786,19.2800,3.7564,0.6410,1.1763,11.0645,17.3486,19.7246,19.8330,57.0041,58.2862,65.5997,71.4584
2.8583,5.9561,6.5138,2.5521,5.7439,2.8437,5.4763,0.4991,26.0381,25.1074,0.5849,25.8247,1.5379,0.1196,3.8819,12.0203,0.0030,6.0374,1.5040,8.0609,11.2913,1.3630,0.7910,2.0709,0.5609,5.1601,0.8698,1.4509,2.0048,2.9222,5.0959,6.1520,6.2738,24.0485,24.1221,30.2457,34.4779
1.2161,3.2341,2.4387,0.2775,1.9544,0.9374,2.0723,0.8151,30.7110,29.9321,0.0728,32.3513,0.8596,0.2629,1.1400,21.9010,0.3791,10.1032,2.4223,12.8181,15.5082,1.3330,1.2433,2.4090,0.4843,9.2483,1.4093,1.8167,3.5914,6.9245,8.5132,9.8377,10.6650,28.9294,29.7814,32.5204,33.7290
2.4203,3.4638,3.6645,0.1795,3.0742,1.8439,2.0360,0.2166,34.6375,34.4583,0.3414,33.8948,1.6684,0.3552,0.5376,21.9734,1.4954,12.6763,2.0716,13.2766,17.1834,0.2212,0.1713,3.3654,1.9596,12.2002,1.1973,1.2730,1.7615,4.3861,8.8266,11.1003,13.0217,33.3114,33.4754,35.6774,36.5406
4.7442,5.2864,4.1721,0.2704,3.4098,2.8676,5.9243,4.3921,34.4205,29.3921,0.7153,28.2023,0.8570,2.4250,2.7898,14.6280,0.0312,5.8874,0.1806,7.7157,11.0464,0.8892,0.8857,1.4332,0.0201,3.7476,1.4134,1.0560,1.2848,3.4636,5.1524,7.3427,7.9247,24.6132,27.0740,33.4671,38.2026
0.8224,4.8896,2.5983,0.8168,1.4642,0.5467,1.8692,0.5929,23.3310,23.5253,0.0143,24.5011,0.2687,0.9215,1.0110,11.0770,0.2049,4.6491,0.2369,6.8508,12.5601,1.6264,1.5606,3.2897,0.0152,3.4024,0.3103,0.4760,1.5476,3.0339,3.4697,5.2758,6.3563,21.7483,22.0944,24.9201,28.4231
1.4747,1.4689,2.1701,0.7043,1.0369,0.1288,1.9100,0.7986,26.6647,29.6153,1.9880,28.6488,0.8682,0.0773,2.5134,11.2313,0.2684,5.5452,0.6839,7.2073,13.6656,1.8661,0.8073,2.8801,0.3981,4.6819,1.3632,1.6535,1.8031,3.3116,4.4410,4.8454,6.5748,25.5534,25.8600,30.5702,35.8668
2.1302,3.9990,4.1947,0.9038,3.9251,1.7925,3.0503,0.2465,36.0407,36.6187,0.2502,35.6380,3.1286,1.3798,2.3358,18.8587,3.3682,10.5357,2.1282,14.0225,17.9747,3.6370,1.3362,3.2550,0.9002,6.5420,0.0183,0.4846,0.5364,0.6485,8.6460,10.0532,10.1780,33.6266,35.3591,38.9117,42.9772
