HISTORY,CVP,PCWP,HYPOVOLEMIA,LVEDVOLUME,LVFAILURE,STROKEVOLUME,ERRLOWOUTPUT,HRBP,HREKG,ERRCAUTER,HRSAT,INSUFFANESTH,ANAPHYLAXIS,TPR,EXPCO2,KINKEDTUBE,MINVOL,FIO2,PVSAT,SAO2,PAP,PULMEMBOLUS,SHUNT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR,CO,BP
0.1739,1.9540,1.9818,0.3039,1.3764,0.1458,2.5570,1.7257,31.0742,29.6852,0.8934,33.6178,0.2367,1.0156,1.9356,20.7078,1.1373,9.7995,0.3757,10.8366,14.5357,0.1732,0.1500,2.4390,0.4950,8.8131,2.9040,1.0796,2.0673,7.0140,9.2800,10.2837,11.3886,28.6882,28.7485,31.7034,34.1039
0.5184,2.7476,4.0458,1.5354,2.4364,0.0455,3.9459,0.1217,32.8498,32.2102,0.0779,32.9303,0.5277,1.1415,1.7022,24.4792,0.2186,12.0888,0.0524,13.0579,14.7867,1.7295,0.3605,0.5409,0.0540,8.6098,0.7280,2.7236,6.9249,7.9402,11.6743,11.8955,12.4311,29.8126,31.9369,36.6312,38.6053
2.6999,3.2327,3.5201,0.2180,2.9063,1.8290,2.8593,0.0925,35.6279,36.7423,1.4500,36.6826,1.0594,4.9138,5.1528,18.8638,0.7062,10.8708,0.0311,9.7500,17.2849,6.4957,5.8583,7.3174,0.4534,8.2456,2.5022,0.3121,2.6631,6.2730,8.1916,9.1873,10.2378,34.8044,35.1951,38.3242,46.3898
2.4136,2.9933,3.2773,0.8057,2.8315,1.6207,4.2167,0.5201,36.0615,34.2879,0.1943,33.4297,0.4812,2.6269,3.0752,16.8710,0.3912,10.5638,0.9453,12.2186,17.3995,1.4082,0.7953,3.5560,2.0213,8.3739,0.5018,0.9489,1.9285,4.4897,7.0943,9.1429,9.6996,32.0885,32.7173,37.0077,43.9431
2.3669,3.4405,3.7450,3.1585,3.3773,0.0963,4.5364,0.6658,31.7153,32.1527,1.7865,33.6879,0.1603,0.7827,1.3857,21.3156,1.1685,9.2623,1.6581,13.0066,15.8480,2.8220,0.5714,2.7500,1.2583,8.1061,1.6891,0.6927,0.8130,4.5511,7.3995,10.6276,11.8901,29.3177,29.9946,37.3991,39.5958
0.7808,2.6819,2.7860,0.4305,2.1302,0.6116,1.1897,1.1546,32.8327,31.8619,1.2791,33.2881,1.2806,2.0976,3.2470,19.0594,0.1656,9.8852,0.0584,12.1744,13.7648,2.7517,0.4910,1.3254,0.6660,7.3660,1.0162,0.3821,2.2168,6.5123,7.4381,8.8454,10.6045,29.6259,29.9792,31.6219,35.3578
4.7603,5.7357,5.2209,0.6177,4.2402,3.6141,7.4852,0.3830,34.3422,34.7299,0.0327,35.4067,0.3092,1.1202,1.8616,19.3050,0.0317,7.6106,0.7691,11.7867,15.6845,1.4877,0.4469,3.1253,0.7216,6.1997,1.0758,0.7662,2.3328,5.2234,6.7720,10.7461,12.0094,30.3030,33.4803,46.3088,49.0604
0.8341,3.5764,4.0692,1.4047,2.9048,0.2031,3.5396,1.1847,33.0145,31.5512,1.2266,30.9085,0.0659,2.4931,2.5261,21.2713,1.5410,8.5024,0.8165,12.6780,14.1225,0.7561,0.0004,1.1152,0.3436,6.9604,2.3992,1.2676,2.1269,4.5945,8.1399,10.5464,11.1586,28.1563,29.4520,33.6844,37.3818
1.8081,3.2810,4.4285,0.5017,2.8241,0.6684,1.4996,1.7779,38.9696,36.2419,0.0813,35.6203,0.8602,0.1944,2.9696,21.2781,0.1655,9.9890,1.0730,13.5039,17.2995,1.9222,1.6542,2.8264,0.7480,9.2184,0.0010,6.6227,7.6885,8.1506,9.2036,11.1161,11.9713,34.5020,34.6369,36.1973,39.3886
1.8369,4.3039,4.9299,1.5560,3.3888,0.6139,2.8196,1.8875,27.1647,27.7983,1.5869,29.0552,0.1277,0.0486,1.4795,15.0298,1.0162,6.1784,0.6862,8.5271,13.1163,2.3759,1.8136,3.1036,0.3973,4.1434,1.1504,0.6050,0.6594,2.3451,5.7340,7.4926,8.4993,23.9239,24.7505,28.6473,30.8459
