BirthAsphyxia,HypDistrib,HypoxiaInO2,CO2,ChestXray,Grunting,LVHreport,LowerBodyO2,RUQO2,CO2Report,XrayReport,Disease,GruntingReport,Age,LVH,DuctFlow,CardiacMixing,LungParench,LungFlow,Sick
1.1583,3.6477,6.2095,5.2856,7.1766,7.7613,3.0895,10.5212,6.4448,8.4779,7.2109,1.5749,8.6482,5.9705,3.0192,1.6224,1.8042,4.2160,2.5368,2.1081
0.0459,5.4749,3.7531,1.9068,7.6420,3.3616,4.5051,11.6581,4.5821,2.5272,7.6771,0.9188,3.8761,2.4676,3.2692,1.6853,1.7307,1.2410,1.0104,1.2288
1.8462,5.8961,10.6846,8.8995,11.9484,11.2594,3.4235,17.6508,10.8122,9.1342,12.3807,2.1499,11.6160,6.3118,3.2657,2.2734,2.8439,7.7770,3.4817,3.3134
1.8436,8.8181,9.1307,4.6443,8.2495,8.3862,5.5422,18.8224,9.5771,5.2042,8.9543,2.9073,10.8270,6.7227,3.2753,2.9980,4.5813,4.4237,3.1415,3.7026
1.1269,5.7597,5.8252,2.4597,5.1055,5.5157,5.1132,12.1354,6.1372,2.5552,6.2440,1.3073,5.8990,3.4425,4.5494,1.8594,2.1735,2.2755,1.7517,2.0800
0.0820,6.2027,4.7556,2.2282,6.5456,5.4335,2.1159,10.9906,6.0401,2.4323,8.6776,1.4382,6.4170,4.8151,1.8447,2.4771,2.5156,2.0880,3.3735,2.7978
1.2718,6.5377,11.1746,6.0549,9.4839,12.4925,3.5066,19.7238,11.7300,6.3430,9.5620,2.4891,12.7385,9.4744,2.9488,3.3201,3.0718,5.2518,2.6046,5.8343
1.0037,4.2814,6.7634,3.8706,5.2733,5.7925,5.9580,13.5276,6.8511,5.3393,5.8134,1.3076,6.7926,4.5521,1.7283,1.8891,1.5020,3.6001,1.6673,1.7542
0.4756,12.8183,17.7627,9.7953,14.5794,14.2787,7.9783,32.2933,18.9482,10.9799,14.8412,4.9918,15.0041,10.2996,7.5329,5.0770,7.1487,8.4904,5.9460,5.1422
0.0330,7.3876,7.5566,3.0898,6.2679,6.3936,3.4936,16.3775,7.6990,4.0576,7.2212,2.2578,8.7010,6.5809,3.0740,2.4191,4.5560,2.6137,2.4251,3.1672
0.4414,6.1117,4.6605,3.3435,5.7877,4.0556,7.9245,11.0456,6.6286,3.6982,5.8817,0.9762,6.4214,2.4376,5.5387,2.9501,1.9027,2.1462,1.1527,1.2043
0.0650,2.6782,2.6327,0.9729,2.7078,1.4965,1.2377,6.2086,4.1163,2.4328,4.1583,0.1326,1.5225,2.2621,0.6228,0.1811,0.6546,0.2199,0.6385,0.6614
0.3911,9.0879,9.0019,5.2979,8.0206,8.4307,3.5853,18.7021,9.1514,5.4282,8.0660,2.4203,9.4441,5.2550,2.6798,5.0571,3.8069,4.6811,2.6971,2.7046
6.8303,19.7838,19.2866,10.0047,22.6225,19.9580,9.0022,39.2595,19.5161,10.2085,23.3778,8.3848,20.4370,18.8775,8.5289,9.6795,8.5277,9.9719,9.6981,9.2665
0.0801,4.1601,2.9301,0.9139,4.1783,1.6720,3.5038,11.9551,3.1701,1.6187,4.5970,0.1754,2.0066,2.1762,1.3971,2.7936,0.8778,0.8114,0.2243,0.7216
1.3676,10.1660,7.3150,2.9201,6.1859,7.0625,4.0435,19.0441,9.9351,3.3967,7.0472,2.2328,7.4272,5.0787,3.8310,3.1514,4.3024,2.4702,3.2753,2.5118
0.4088,6.2051,7.4602,4.9082,11.3367,5.4844,1.9808,14.2158,9.1735,6.1573,11.5087,1.0879,5.7236,2.8647,1.2858,1.2948,3.3137,4.0549,5.2904,1.4041
4.4761,15.2012,17.5169,5.9394,12.5329,12.8617,9.8103,34.0085,17.8493,7.1577,13.0050,5.5444,14.2534,13.2520,6.0110,5.7017,6.8870,5.6477,6.3183,7.0142
0.6036,9.2698,7.4976,5.5883,9.4007,8.8457,3.9126,17.5507,7.7022,8.1699,10.0531,2.4775,10.0248,5.7957,2.5266,6.2008,3.0576,4.1687,3.2035,3.0203
0.7491,3.7551,4.2744,1.5824,2.3480,2.8062,2.4361,8.3156,4.6426,2.5452,2.6672,0.7566,3.0768,3.9337,1.2488,1.7385,1.3555,1.0301,0.8660,1.2742
