BirthAsphyxia,HypDistrib,HypoxiaInO2,CO2,ChestXray,Grunting,LVHreport,LowerBodyO2,RUQO2,CO2Report,XrayReport,Disease,GruntingReport,Age,LVH,DuctFlow,CardiacMixing,LungParench,LungFlow,Sick
0.6147,12.3777,10.3749,5.7984,11.4937,10.9426,5.2503,25.5589,10.5495,5.8460,13.4531,3.8891,10.9925,9.1013,4.6086,7.2386,3.9356,5.7424,4.4297,5.0931
1.0617,5.6800,6.3015,2.9961,4.8861,6.5242,3.0552,12.3521,7.0279,3.0325,6.2536,1.8766,7.4671,3.9509,2.9939,2.4715,2.8004,2.6193,1.9482,1.9855
0.1102,2.8961,3.5465,2.2319,5.7441,5.2264,1.4109,7.2404,3.9276,3.3566,5.7537,0.8698,5.8032,2.8951,1.0818,1.4671,1.1236,1.8325,3.7871,1.9149
0.5761,4.9395,4.7544,1.8861,6.4026,8.1950,1.8788,10.2122,4.9149,2.8403,7.1718,1.0836,9.7489,5.8559,1.3495,2.4912,2.3836,1.8533,2.6557,4.5141
0.3437,12.2829,9.1991,5.1180,9.1095,7.6394,4.2512,21.8568,9.9578,5.5076,9.3029,3.5921,8.8947,9.9703,3.7599,3.9295,4.6182,3.6141,4.6801,3.7847
1.0508,7.0752,8.3708,3.9501,8.3556,7.3297,3.5992,15.6366,9.0467,5.1801,8.5776,3.1166,7.9072,6.7075,3.2658,3.1520,3.5625,3.8651,3.5881,3.3546
2.3758,7.5026,8.2672,3.8713,6.3367,7.3489,4.0734,15.8295,8.6604,5.4348,6.7827,2.5857,7.7858,6.7276,3.0299,2.6594,4.7272,3.0266,3.2882,2.7375
0.3376,3.7132,1.3060,0.8118,1.9090,2.5553,1.2525,6.4183,2.0819,1.8982,2.4736,0.6270,3.9278,2.6676,0.8685,0.7340,0.6297,0.6707,0.8761,1.1787
1.6325,13.8150,10.3942,4.8954,9.5036,9.1414,5.9897,24.4411,10.9700,7.0012,11.3860,4.2942,9.3471,10.4203,5.5491,6.6410,4.6993,4.3539,4.3479,4.6494
0.0874,3.9689,3.2894,2.4101,2.8165,3.5950,3.3209,8.4606,3.4043,2.7075,3.7226,0.6394,4.1132,3.6651,2.9679,1.4006,1.7449,1.3184,0.8373,2.2453
1.6742,6.1295,9.8518,4.3208,7.3059,8.5028,7.4069,16.3285,10.3093,6.2864,7.9118,2.3002,9.7023,6.6076,5.9347,2.3601,3.6050,4.2823,2.9444,4.1033
0.3507,6.1155,5.2009,2.6574,5.9482,5.8491,5.4675,14.3289,5.3499,3.0842,6.3949,2.1065,5.9586,6.2179,2.1867,3.5008,2.5021,2.2097,3.1691,3.2769
0.4100,2.7791,2.8520,1.3259,4.5248,3.9009,1.4521,6.0014,3.7088,2.1269,4.8255,0.9201,5.4589,3.0884,0.9768,0.9290,1.7377,1.0610,1.6716,1.0342
0.1497,3.9924,5.5888,3.3124,7.0588,6.0804,2.2103,11.0774,5.8685,3.4172,9.4904,1.4329,6.8163,4.3705,2.0015,1.7407,2.0733,3.1943,3.3415,2.2588
1.7690,10.0548,6.4039,6.4537,5.6259,9.4269,3.2557,18.2838,7.0338,6.6734,5.7166,2.4145,10.6026,16.6292,2.8809,5.9622,3.6498,2.5135,3.0083,6.8992
2.4826,13.1329,10.9830,5.4184,9.8399,11.4060,5.1130,25.0168,13.9935,6.1398,10.1611,3.7589,13.1284,9.2817,4.1428,5.7481,5.6095,5.3637,3.7873,4.3740
1.4672,4.5578,6.1871,2.9879,6.5718,7.4438,3.0798,11.1041,8.6892,3.0284,7.4422,1.5153,8.6345,4.7915,2.5624,1.9824,2.1708,1.8967,1.7911,2.1639
0.3846,9.0508,11.9712,3.7063,7.3803,9.2884,4.2152,23.7223,12.6022,4.9029,7.3814,2.8124,12.4000,7.9900,3.2241,4.9234,3.7594,3.6801,3.0883,5.1250
