BirthAsphyxia,HypDistrib,HypoxiaInO2,CO2,ChestXray,Grunting,LVHreport,LowerBodyO2,RUQO2,CO2Report,XrayReport,Disease,GruntingReport,Age,LVH,DuctFlow,CardiacMixing,LungParench,LungFlow,Sick
2.0403,7.5541,6.8426,3.0705,7.0801,6.1775,4.7257,16.2704,11.6864,5.8176,9.5595,2.7694,7.4493,5.6276,3.0290,3.8491,3.1178,3.0603,3.5510,2.8149
1.1032,8.3137,6.6412,4.8725,5.6454,5.2416,5.7264,15.4589,6.8301,5.0117,6.2894,1.8840,5.7036,3.9940,3.6495,4.0089,3.7833,2.3456,2.0655,1.9791
0.1350,3.6038,3.0129,0.9635,7.1010,2.3151,2.1579,7.0608,4.9608,1.4764,7.2342,0.5946,4.0869,2.2045,1.1740,1.7674,1.6708,0.9318,4.1864,1.3569
0.3932,14.0507,14.2525,7.0816,13.4403,17.3442,7.8794,28.6145,17.8184,7.9819,13.5339,5.8376,18.7683,17.4635,7.0117,6.4875,7.1076,6.7461,6.3752,10.1033
0.0334,6.9103,4.6083,4.1742,5.6497,4.3230,1.2484,12.2313,5.9586,4.4131,6.5667,1.1907,5.6704,3.4293,1.2459,3.7035,2.7106,1.7576,2.5215,1.6381
0.2113,7.2076,3.6411,2.8506,4.6923,3.8942,2.9697,11.8393,4.8363,3.0658,5.1205,0.8617,4.5668,5.3182,2.6133,0.9890,1.5212,1.2950,1.8335,1.1035
0.0568,6.3613,5.6400,3.3683,5.6241,7.1454,3.7780,13.6877,7.2068,4.3537,5.6586,2.2852,11.3544,7.2127,2.6010,2.4772,2.8521,2.3650,2.3824,4.3769
0.3343,2.0810,5.3333,2.9474,4.1957,3.2521,3.0453,12.8838,6.3792,3.3723,5.3160,0.8297,5.1045,1.9819,2.4037,0.9294,0.9712,2.2064,1.2889,0.9902
0.8972,11.0067,9.8081,3.8201,8.7701,7.1261,4.7602,20.9728,10.4059,4.4851,8.7935,2.8926,11.9544,6.4604,2.9054,5.8599,4.2546,3.6526,4.9281,2.9296
1.8536,8.5747,8.3520,4.8997,10.4377,8.5204,5.8496,17.5100,11.0057,8.1876,10.5920,3.0271,8.6804,7.0244,4.0370,4.8083,3.6544,3.7270,5.5973,3.2374
0.3013,7.2896,4.9841,2.1320,7.1429,7.3048,2.9268,13.0126,5.8678,2.7641,8.2040,0.9509,8.2362,3.3555,2.7774,3.1422,3.4738,1.4143,2.9508,1.5937
1.0252,11.5057,5.2462,2.2988,3.9450,5.1025,2.3574,17.2027,7.8007,3.1749,6.1660,1.3440,5.7152,5.0974,1.9244,2.6730,3.1957,1.5572,2.3431,3.1337
2.6465,12.6377,9.8106,5.0014,10.6497,9.1515,4.1774,23.7333,10.2274,5.6761,10.8805,3.4271,13.5002,7.7995,3.9460,5.1365,3.7722,4.4217,5.9446,4.1796
0.1307,7.4235,12.3044,5.0858,7.4745,9.4429,2.6259,22.5644,12.7989,7.6720,8.0195,1.9637,9.9193,4.9383,2.4459,2.6826,4.6064,4.0925,2.5929,2.4959
1.5668,8.9627,9.4263,3.7069,6.9705,7.3868,4.1134,18.4265,9.5886,5.6270,7.2913,3.0606,8.3060,6.6000,3.4361,4.7900,3.7451,3.1803,3.2824,3.1209
0.7638,7.5492,5.1093,1.5996,3.5132,5.7658,2.9655,13.2680,6.8989,1.8483,4.9900,1.2086,5.7980,3.8868,2.2706,2.7746,2.4981,1.4107,1.9867,2.1858
2.1494,11.1498,10.5160,4.8843,8.8515,9.9720,5.6517,23.4526,12.8972,5.8319,13.9439,2.7058,10.0118,7.0327,5.5294,6.0610,4.8903,4.4780,3.2659,3.8050
1.1025,8.0312,7.2236,4.0112,5.4909,5.6591,2.5561,15.5934,8.5476,5.3307,5.8978,2.3238,6.2183,5.3859,2.4528,3.8817,3.9480,2.8522,2.5992,2.6931
0.3935,5.4961,4.0006,1.8440,5.0330,5.6403,3.0294,14.1349,4.1155,2.5275,7.6879,1.2913,7.7921,5.0814,2.3991,2.4627,2.1714,1.5834,2.0833,3.6344
0.8036,14.3184,10.6890,5.0362,11.6972,9.4674,5.2800,25.9425,11.3484,5.2927,13.5428,3.8627,13.2058,9.1051,4.4155,3.9015,5.9362,4.7071,5.1241,4.4910
0.7710,6.2743,4.6639,5.4046,2.6591,4.4670,1.6618,11.2665,4.9408,5.8479,3.1316,1.0607,5.4401,5.7691,1.5663,1.0739,2.7443,1.3029,1.3521,2.5123
0.1238,5.6617,4.6982,2.5032,3.9725,3.9916,2.5872,10.6235,4.9065,5.0028,4.7005,0.7403,5.9190,3.9647,1.1285,1.7711,1.5737,2.2844,0.7838,1.2028
